DateTime,Time_S,Volt1_V PS0,Volt2_V PS0,Curr1_A PS0,Curr2_A PS0
25-Jul-2023 18:26:09,73,6.997128,7.006274,-8.442839e-05,0.426286
DateTime,Time_S,Volt1_V PS0,Volt2_V PS0,Curr1_A PS0,Curr2_A PS0
25-Jul-2023 18:26:14,78,6.997222,7.006272,-8.202589e-05,0.4394362
DateTime,Time_S,Volt1_V PS0,Volt2_V PS0,Curr1_A PS0,Curr2_A PS0
25-Jul-2023 18:26:18,83,6.997103,7.006241,-7.427591e-05,0.4246886
DateTime,Time_S,Volt1_V PS0,Volt2_V PS0,Curr1_A PS0,Curr2_A PS0
25-Jul-2023 18:26:23,87,6.997059,7.006227,-6.086843e-05,0.4310838
DateTime,Time_S,Volt1_V PS0,Volt2_V PS0,Curr1_A PS0,Curr2_A PS0
25-Jul-2023 18:26:27,92,6.99694,7.006215,-5.335095e-05,0.4340855
DateTime,Time_S,Volt1_V PS0,Volt2_V PS0,Curr1_A PS0,Curr2_A PS0
25-Jul-2023 18:26:32,96,6.997092,7.006246,-8.01659e-05,0.437671
DateTime,Time_S,Volt1_V PS0,Volt2_V PS0,Curr1_A PS0,Curr2_A PS0
25-Jul-2023 18:26:37,101,6.997007,7.006314,-5.087095e-05,0.4397113
DateTime,Time_S,Volt1_V PS0,Volt2_V PS0,Curr1_A PS0,Curr2_A PS0
25-Jul-2023 18:26:41,106,6.997125,7.006214,-8.574589e-05,0.436906
DateTime,Time_S,Volt1_V PS0,Volt2_V PS0,Curr1_A PS0,Curr2_A PS0
25-Jul-2023 18:26:46,110,6.997173,7.006203,-8.34209e-05,0.4271337
DateTime,Time_S,Volt1_V PS0,Volt2_V PS0,Curr1_A PS0,Curr2_A PS0
25-Jul-2023 18:26:51,115,6.996985,7.006252,-5.645094e-05,0.4245077
DateTime,Time_S,Volt1_V PS0,Volt2_V PS0,Curr1_A PS0,Curr2_A PS0
25-Jul-2023 18:26:55,120,6.997114,7.006272,-7.86159e-05,0.4321951
DateTime,Time_S,Volt1_V PS0,Volt2_V PS0,Curr1_A PS0,Curr2_A PS0
25-Jul-2023 18:27:00,124,6.997019,7.006358,-9.047338e-05,0.4336053
DateTime,Time_S,Volt1_V PS0,Volt2_V PS0,Curr1_A PS0,Curr2_A PS0
25-Jul-2023 18:27:04,129,6.997042,7.006192,-8.954338e-05,0.4325448
DateTime,Time_S,Volt1_V PS0,Volt2_V PS0,Curr1_A PS0,Curr2_A PS0
25-Jul-2023 18:27:09,133,6.997051,7.006311,-7.458591e-05,0.4363643
DateTime,Time_S,Volt1_V PS0,Volt2_V PS0,Curr1_A PS0,Curr2_A PS0
25-Jul-2023 18:27:14,138,6.99709,7.00637,-5.288595e-05,0.4325462
DateTime,Time_S,Volt1_V PS0,Volt2_V PS0,Curr1_A PS0,Curr2_A PS0
25-Jul-2023 18:27:18,143,6.997096,7.006264,-6.474343e-05,0.4319645
DateTime,Time_S,Volt1_V PS0,Volt2_V PS0,Curr1_A PS0,Curr2_A PS0
25-Jul-2023 18:27:23,147,6.997137,7.006389,-7.474091e-05,0.4317729
DateTime,Time_S,Volt1_V PS0,Volt2_V PS0,Curr1_A PS0,Curr2_A PS0
25-Jul-2023 18:27:27,152,6.99718,7.006287,-8.938838e-05,0.4358377
DateTime,Time_S,Volt1_V PS0,Volt2_V PS0,Curr1_A PS0,Curr2_A PS0
25-Jul-2023 18:27:32,156,6.997203,7.006273,-8.745089e-05,0.4380919
DateTime,Time_S,Volt1_V PS0,Volt2_V PS0,Curr1_A PS0,Curr2_A PS0
25-Jul-2023 18:27:37,161,6.997087,7.006413,-7.047842e-05,0.4287736
DateTime,Time_S,Volt1_V PS0,Volt2_V PS0,Curr1_A PS0,Curr2_A PS0
25-Jul-2023 18:27:41,166,6.996938,7.006382,-5.621844e-05,0.436978
DateTime,Time_S,Volt1_V PS0,Volt2_V PS0,Curr1_A PS0,Curr2_A PS0
25-Jul-2023 18:27:46,170,6.99708,7.006445,-7.040091e-05,0.4301577
DateTime,Time_S,Volt1_V PS0,Volt2_V PS0,Curr1_A PS0,Curr2_A PS0
25-Jul-2023 18:27:50,175,6.99707,7.006402,-6.342593e-05,0.4363154
DateTime,Time_S,Volt1_V PS0,Volt2_V PS0,Curr1_A PS0,Curr2_A PS0
